go:0005	partial	chains/zoo-evm/main.go:29-33 blank-imports luxfi/precompile/{mldsa,mlkem,slhdsa,corona,xwing}, so the FIPS 203/204/205 verifiers are linked into the zoo-evm plugin. No Zoo code implements them: every primitive is an upstream Lux package at a published version, and the repository the ZIP body names at line 275, zooai/pqc, does not exist (gh: "Could not resolve to a Repository")
go:0014	partial	the whole integration is kms/Dockerfile:52 `FROM ghcr.io/luxfi/kms:1.12.9` plus three ENV lines (KMS_ORG, KMS_KEY_PREFIX, KMS_BRAND_NAME). kms/main.go:26 prints those variables to stdout rather than delegating to the upstream server, so the Go module holds 33 lines and no KMS logic
go:0015	partial	node/vm/factory.go:73 defines the Zoo EVM VMID and universe/chain.yaml:22-24 declares `type: l2` with zero validators, which is the ZIP's own claim. node/main.go:4 and evm/main.go:4 both describe the same binary as a sovereign L1, and zip-0036:53 records the Zoo EVM as not bootstrapped, so the three descriptions of one chain do not agree
go:0031	partial	bridge-shim/tenant_test.go:1-4 states "The shim itself ships no Go binary". The 61 Go lines are one test asserting tenant.yaml against luxfi/bridge's tenant.Config; the brand-sovereignty behaviour LP-0010 specifies lives upstream
go:0419	partial	node/vm/factory.go:33 registers luxfi/precompile/ai at 0x0300, so the inference address is reachable from the Zoo VM. The canonical verifier the ZIP names, luxfi/crypto/poi, is upstream Lux; no Zoo repository contains PoAI Go
go:0423	partial	node/vm/factory.go:60,81 wire luxfi/precompile/fhe and the FHE VMID, and proofs/property/fhe_noise_test.go is 544 lines of Go property tests over luxfi/fhe. The training pipeline the ZIP specifies has no Go expression; the FHE itself is upstream
go:0803	none	searched every yaml, Dockerfile and .go under ~/work/zoo for luxfi/replicate, zapdb-replicator and ghcr.io/zoolabs/replicate: zero hits. The ZIP is Final and names three upstream Go sidecars at lines 272-274, none of which any Zoo manifest references
go:0804	partial	node/bootstrap.go:5 issues CreateSubnetTx and CreateChainTx but sits behind `//go:build bootstrap`, so it is absent from every default build. The graduation is also not settled in the declarations: node/main.go:4 asserts L1 while universe/chain.yaml:22-24 still declares L2 with zero validators
go:0805	partial	the path the ZIP cites at line 84, node/precompile/dex/, does not exist. The DEX reaches the VM as `_ "github.com/luxfi/precompile/dex"` (node/vm/factory.go:57) and dexvm.NewChainVM (factory.go:133) — the upstream V4 pool manager at 0x9010, with no Zoo-side pool, router or settlement code
go:0807	none	zoo/bot is the TypeScript OpenClaw fork (bot.mjs, pnpm-workspace.yaml, tsdown.config.ts). Its only Go is bot/scripts/docs-i18n, 1,840 lines of documentation translator unrelated to the framework. The ZIP marks ~/work/zoo/bot "(planned)" at line 97, and that is still its state
go:0808	none	zoo/bridge is a Vite/TypeScript frontend (vite.config.ts, src/). No Go relayer and no B-Chain or M-Chain client exists in any Zoo repository
go:0811	none	the VM path the ZIP names at line 87, zooai/node/chains/quasarvm, does not exist — zoo/node has no chains/ directory at all. zooai/chains ships quantumvm, under the upstream module path github.com/luxfi/chains/quantumvm/plugin
go:0812	partial	chains/zoo-evm/main.go:56 registers luxfi/precompile/pulsar at 0x012204, but node/vm/factory.go does not import it (grep for pulsar returns zero). The plugin and the node binary disagree about whether the primitive ZIP-0811's finality consumes is present
go:0901	partial	node/beluga/ holds config.json and genesis.json and no Go. The Tier-1 int8 path is `_ "github.com/luxfi/precompile/inference"` at node/vm/factory.go:34; nothing in Zoo implements the thinking-chain itself
go:0902	none	searched every .go and .rs file under ~/work/zoo for AInferenceReceipt, ProofOfThought and Proof-of-Thought: nothing. The receipt type the ZIP specifies has no implementation in any runtime
rust:0806	partial	app/apps/zoo-desktop/src-tauri is 6,492 lines of Rust on Tauri 2.5 and is the application ZIP-0806 names at line 74; local_zoo_node/zoo_node_manager.rs spawns the Rust node backend. The mining the ZIP specifies is not implemented: src/mining/mod.rs:79-89 adds 1.0 to a JSON counter every 60 seconds, with no device, no chain and no proof
